grid_id,district,elevation_mean,slope_mean,builtup_percent,vegetation_percent,water_percent,cropland_percent,bare_percent,elevation_susceptibility,slope_susceptibility,builtup_susceptibility,bare_susceptibility,vegetation_protection,susceptibility_raw,susceptibility_score,susceptibility_category,dominant_driver,latitude,longitude,historical_flooded_area_percent,historical_mean_flood_duration,population,historical_flood_days_2015_2023,vulnerability_score,date,rainfall_24h,rainfall_3day,rainfall_7day,temporal_risk_score,flood_event,temporal_risk_index,hyperlocal_risk_score,hyperlocal_risk_category,action_priority,risk_explanation
NCR_0001,SONIPAT,223.72903008189627,1.8290790915792063,0.0,7.121661721068249,0.0,92.87833827893176,0.0,0.7217771608080426,0.4406189631229797,0.0,0.0,0.0712166172106825,0.3476820470705957,41.61024668301449,Moderate,Lower elevation,29.09134958520514,76.48087287497611,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,19.561652518547568,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0002,SONIPAT,224.26019715139643,1.8493338048904813,0.0,25.348189415041784,0.0,74.58752946218127,0.0642811227769445,0.7182146521970612,0.4462787458966727,0.0,0.0006428112277694,0.2534818941504178,0.328911623909672,39.08679924072789,Low,Lower elevation,29.09606735339773,76.48087650155253,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,18.55227354163293,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0003,SONIPAT,224.8532347719893,2.569885452604319,0.0,20.906432748538013,0.0,78.0701754385965,1.023391812865497,0.7142371811689978,0.6476227857067416,0.0,0.0102339181286549,0.2090643274853801,0.362443553481505,43.59474566194284,Moderate,Lower elevation,29.104758730243155,76.48198193699443,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,20.35545211011891,Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0004,SONIPAT,223.99664815266928,3.9859261165062585,0.0,0.0,0.0,100.0,0.0,0.7199822609802345,1.0,0.0,0.0,0.0,0.4379929043920938,53.7514062064223,Moderate,Slope/runoff,29.11041706089977,76.48284953638843,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,24.418116327910695,Low,Routine Monitoring,Slope/runoff; Elevated 24-hour rainfall
NCR_0005,SONIPAT,225.67024658203124,1.0709760066270828,0.0,28.05555555555556,20.55555555555556,34.53703703703704,16.85185185185185,0.7087575274485841,0.2287819099415315,0.0,0.1685185185185185,0.2805555555555556,0.2981906678410337,34.95675287196032,Low,Lower elevation,29.217109388194068,76.48331391816386,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.900254994125902,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0006,SONIPAT,226.8272692809752,0.6018324577373607,0.0,0.1209774981853375,0.0,99.87902250181466,0.0,0.7009974392112474,0.0976889373780949,0.0,0.0,0.0012097749818533,0.2949313387930278,34.518577052520975,Low,Lower elevation,29.2235039423194,76.48132405619792,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.724984666350164,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0007,SONIPAT,227.45761638815927,0.6320561909043351,0.0,1.58745247148289,0.0,98.41254752851712,0.0,0.6967697354882665,0.1061343674222671,0.0,0.0,0.0158745247148289,0.2930405968371637,34.264390563934946,Low,Lower elevation,29.23211846317216,76.48068347408629,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.62331007091575,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0008,SONIPAT,226.72376372322205,0.6787395761921144,0.1761942051683633,1.448707909162099,0.0,95.75176194205169,2.623335943617854,0.7016916453508091,0.119179124749065,0.0017619420516836,0.0262333594361785,0.0144870790916209,0.2989450695308354,35.05817269602425,Low,Lower elevation,29.238692033289475,76.48100755406517,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.940822923751476,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0009,SONIPAT,223.08133166323427,0.8806375809369349,0.0,0.013419216317767,0.0,99.98658078368224,0.0,0.7261212388322578,0.1755955662822872,0.0,0.0,0.0001341921631776,0.3167744112589284,37.45510356943542,Low,Lower elevation,29.0893314079777,76.48877913407615,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.899595273115942,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0010,SONIPAT,222.71477129192792,0.3729842434929717,0.0,0.0075013127297277,0.0,99.99249868727028,0.0,0.7285797392819415,0.0337417878497038,0.0,0.0,7.5013127297277e-05,0.2964856625775024,34.727536346874174,Low,Lower elevation,29.09663495372331,76.48792565542242,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,16.808568384091444,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
NCR_0011,SONIPAT,223.7038478836452,0.7715588522013727,0.0,4.8922800718132855,0.0,95.10771992818673,0.0,0.7219460564404416,0.1451156527734544,0.0,0.0,0.0489228007181328,0.3056534904203815,35.96003555709968,Low,Lower elevation,29.105657730973032,76.48805544678729,0.905127272,6.0,1771137,4.0,17.513083599902178,2023-07-18,14.2,28.40000000000001,64.79999999999998,0.0064575845634766,0,0.64575845634766,17.301568068181645,Very Low,Routine Monitoring,Lower elevation; Elevated 24-hour rainfall
